DATE,Day_of_Week,Seasonal_Factor,Forecast_OnTime_Pct,Lower_Bound,Upper_Bound
2023-10-01,Sunday,1.064918392228397,85.20665242427175,81.09228793397943,89.32101691456407
2023-10-02,Monday,1.0522948247940693,84.19661078109914,80.08224629080682,88.31097527139146
2023-10-03,Tuesday,1.0017306967940995,80.15085468272406,76.03649019243174,84.26521917301638
2023-10-04,Wednesday,0.9878623145995683,79.04121245101872,74.9268479607264,83.15557694131104
2023-10-05,Thursday,0.97779960039868,78.23607076352688,74.12170627323457,82.3504352538192
2023-10-06,Friday,0.9378667684776627,75.04094994052092,70.9265854502286,79.15531443081323
2023-10-07,Saturday,0.9905510934877964,79.25634804248462,75.1419835521923,83.37071253277693
2023-10-08,Sunday,1.064918392228397,85.20665242427175,81.09228793397943,89.32101691456407
2023-10-09,Monday,1.0522948247940693,84.19661078109914,80.08224629080682,88.31097527139146
2023-10-10,Tuesday,1.0017306967940995,80.15085468272406,76.03649019243174,84.26521917301638
2023-10-11,Wednesday,0.9878623145995683,79.04121245101872,74.9268479607264,83.15557694131104
2023-10-12,Thursday,0.97779960039868,78.23607076352688,74.12170627323457,82.3504352538192
2023-10-13,Friday,0.9378667684776627,75.04094994052092,70.9265854502286,79.15531443081323
2023-10-14,Saturday,0.9905510934877964,79.25634804248462,75.1419835521923,83.37071253277693
2023-10-15,Sunday,1.064918392228397,85.20665242427175,81.09228793397943,89.32101691456407
2023-10-16,Monday,1.0522948247940693,84.19661078109914,80.08224629080682,88.31097527139146
2023-10-17,Tuesday,1.0017306967940995,80.15085468272406,76.03649019243174,84.26521917301638
2023-10-18,Wednesday,0.9878623145995683,79.04121245101872,74.9268479607264,83.15557694131104
2023-10-19,Thursday,0.97779960039868,78.23607076352688,74.12170627323457,82.3504352538192
2023-10-20,Friday,0.9378667684776627,75.04094994052092,70.9265854502286,79.15531443081323
2023-10-21,Saturday,0.9905510934877964,79.25634804248462,75.1419835521923,83.37071253277693
2023-10-22,Sunday,1.064918392228397,85.20665242427175,81.09228793397943,89.32101691456407
2023-10-23,Monday,1.0522948247940693,84.19661078109914,80.08224629080682,88.31097527139146
2023-10-24,Tuesday,1.0017306967940995,80.15085468272406,76.03649019243174,84.26521917301638
2023-10-25,Wednesday,0.9878623145995683,79.04121245101872,74.9268479607264,83.15557694131104
2023-10-26,Thursday,0.97779960039868,78.23607076352688,74.12170627323457,82.3504352538192
2023-10-27,Friday,0.9378667684776627,75.04094994052092,70.9265854502286,79.15531443081323
2023-10-28,Saturday,0.9905510934877964,79.25634804248462,75.1419835521923,83.37071253277693
2023-10-29,Sunday,1.064918392228397,85.20665242427175,81.09228793397943,89.32101691456407
2023-10-30,Monday,1.0522948247940693,84.19661078109914,80.08224629080682,88.31097527139146
